source_type,source_path,filename,extension,assigned_majors,word_count,preview_top_words
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 248,.csv-row,Electrical Engineering,8,wireless; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 249,.csv-row,Electrical Engineering,8,wireless; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 250,.csv-row,Electrical Engineering,8,mobile; communication
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 251,.csv-row,Electrical Engineering,8,mobile; communication
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 252,.csv-row,Electrical Engineering,12,wireless; personal; communication; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 253,.csv-row,Electrical Engineering,12,wireless; personal; communication; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 254,.csv-row,Electrical Engineering,8,intelligent; control
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 255,.csv-row,Electrical Engineering,8,intelligent; control
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 256,.csv-row,Electrical Engineering; Artificial Intelligence,16,neural; complex; artificial; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 257,.csv-row,Electrical Engineering; Artificial Intelligence,16,neural; complex; artificial; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 258,.csv-row,Computer Science; Electrical Engineering,12,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 259,.csv-row,Computer Science; Electrical Engineering,12,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 260,.csv-row,Computer Science; Electrical Engineering,12,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 261,.csv-row,Computer Science; Electrical Engineering,12,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 262,.csv-row,Electrical Engineering,8,medical; imaging
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 263,.csv-row,Electrical Engineering,8,medical; imaging
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 264,.csv-row,Electrical Engineering,8,multimedia; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 265,.csv-row,Electrical Engineering,8,multimedia; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 266,.csv-row,Computer Science,8,game; programming
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 267,.csv-row,Computer Science,8,game; programming
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 268,.csv-row,Computer Science,8,computer; animation
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 269,.csv-row,Computer Science,8,computer; animation
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 270,.csv-row,Computer Science,10,digital; image; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 271,.csv-row,Computer Science,10,digital; image; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 272,.csv-row,Computer Science,4,
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 273,.csv-row,Computer Science,4,
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 274,.csv-row,Computer Science; Artificial Intelligence,6,trustworthy
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 275,.csv-row,Computer Science,4,
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 276,.csv-row,Computer Science,4,
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 277,.csv-row,Computer Science; Data Science and Analytics; Artificial Intelligence,8,artificial; intelligence
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 278,.csv-row,Computer Science; Data Science and Analytics; Artificial Intelligence,8,artificial; intelligence
